,DESCRICAO_UE,SIGLA_UE,SIGLA_UF,ano,mulher_ver,total_ver,mulher_ele,total_ele,prop_cm,prop_me,ln_prop_cm,ln_prop_me
1,ACRELANDIA,1120,AC,2004,7,39,2,6,17.94872,33.33333,2.88751880319947,3.50655779731998
50,ASSIS BRASIL,1570,AC,2004,9,32,2,8,28.125,25,3.33665886052458,3.2188758248682
87,BRASILEIA,1058,AC,2004,17,69,0,7,24.63768,0,3.20427697838822,0
168,BUJARI,1007,AC,2004,15,59,1,7,25.42373,14.28571,3.23568298985125,2.65925973693273
236,CAPIXABA,1015,AC,2004,15,56,0,7,26.78571,0,3.28786853635514,0
304,CRUZEIRO DO SUL,1074,AC,2004,13,87,0,6,14.94253,0,2.70421150941043,0
403,EPITACIOLANDIA,1112,AC,2004,17,62,2,8,27.41935,25,3.31124896852861,3.2188758248682
482,FEIJO,1139,AC,2004,11,42,2,7,26.19048,28.57143,3.26539598595763,3.35240726749272
531,JORDAO,1104,AC,2004,6,31,0,8,19.35484,0,2.96294251739766,0
572,MANCIO LIMA,1090,AC,2004,13,48,2,7,27.08333,28.57143,3.29891840946481,3.35240726749272
626,MANUEL URBANO,1554,AC,2004,6,37,0,7,16.21622,0,2.78601197590523,0
668,MARECHAL THAUMATURGO,1040,AC,2004,6,43,0,7,13.95349,0,2.63572965618924,0
717,PLACIDO DE CASTRO,1511,AC,2004,17,72,2,5,23.61111,40,3.16171736396943,3.68887945411394
809,PORTO ACRE,1023,AC,2004,18,84,0,7,21.42857,0,3.06472507837427,0
919,PORTO WALTER,1066,AC,2004,8,58,0,6,13.7931,0,2.62416846712148,0
981,RIO BRANCO,1392,AC,2004,35,161,2,10,21.73913,20,3.07911386249304,2.99573227355399
1172,RODRIGUES ALVES,1082,AC,2004,8,30,3,8,26.66667,37.5,3.28341447100576,3.62434093297637
1207,SANTA ROSA,1031,AC,2004,3,21,0,8,14.28571,0,2.65925973693273,0
1233,SENA MADUREIRA,1457,AC,2004,9,68,0,5,13.23529,0,2.58288674703704,0
1311,SENADOR GUIOMARD,1538,AC,2004,18,78,1,7,23.07692,14.28571,3.13883298386132,2.65925973693273
1397,TARAUACA,1473,AC,2004,9,55,0,7,16.36364,0,2.79506180031404,0
1465,XAPURI,1490,AC,2004,5,40,0,7,12.5,0,2.52572864430826,0
1512,AGUA BRANCA,27014,AL,2004,9,44,1,8,20.45455,12.5,3.01820535162825,2.52572864430826
1564,ANADIA,27030,AL,2004,8,39,0,7,20.51282,0,3.02105005653828,0
1615,ARAPIRACA,27057,AL,2004,29,126,2,11,23.01587,18.18182,3.1361839779886,2.90042219374966
1755,ATALAIA,27073,AL,2004,15,69,2,7,21.73913,28.57143,3.07911386249304,3.35240726749272
1830,BARRA DE SANTO ANTONIO,27090,AL,2004,18,93,0,6,19.35484,0,2.96294251739766,0
1929,BARRA DE SAO MIGUEL,27111,AL,2004,18,69,2,6,26.08696,33.33333,3.26143557262032,3.50655779731998
2011,BATALHA,27138,AL,2004,17,69,0,7,24.63768,0,3.20427697838822,0
2094,BELEM,27154,AL,2004,8,41,1,7,19.5122,14.28571,2.97103991096359,2.65925973693273
2142,BELO MONTE,27170,AL,2004,8,26,1,8,30.76923,12.5,3.42651516464645,2.52572864430826
2177,BOCA DA MATA,27197,AL,2004,18,66,1,7,27.27273,14.28571,3.30588730185783,2.65925973693273
2252,BRANQUINHA,27219,AL,2004,9,50,2,6,18,33.33333,2.89037175789616,3.50655779731998
2309,CACIMBINHAS,27235,AL,2004,7,36,2,8,19.44444,25,2.96756116801584,3.2188758248682
2356,CAJUEIRO,27251,AL,2004,8,54,1,6,14.81481,16.66667,2.6956273561036,2.81341091676002
2418,CAMPESTRE,27081,AL,2004,16,64,0,8,25,0,3.2188758248682,0
2492,CAMPO ALEGRE,27278,AL,2004,12,56,0,7,21.42857,0,3.06472507837427,0
2554,CAMPO GRANDE,27294,AL,2004,10,43,1,8,23.25581,12.5,3.14655499328856,2.52572864430826
2605,CANAPI,27316,AL,2004,13,49,1,7,26.53061,14.28571,3.27829916072361,2.65925973693273
2663,CAPELA,27332,AL,2004,16,61,1,8,26.22951,12.5,3.26688511280456,2.52572864430826
2737,CARNEIROS,27359,AL,2004,5,34,1,8,14.70588,12.5,2.68824741380602,2.52572864430826
2779,CHA PRETA,27375,AL,2004,8,33,0,8,24.24242,0,3.18810399120143,0
2816,COITE DO NOIA,27391,AL,2004,4,27,1,8,14.81481,12.5,2.6956273561036,2.52572864430826
